step,time_s,position_plain,velocity_plain,position_encrypted,velocity_encrypted,u_plain,u_encrypted,state_error,control_error,encrypt_ms,he_dot_ms,decrypt_ms,enc_x_serialized_bytes,enc_u_serialized_bytes
78,3.900000,0.000002996315,-0.000010214926,0.000002963543,-0.000010214887,0.000032893196,0.000032810671,3.277249538833e-08,8.252512340484e-08,3.982232,3.048822,1.130307,331014,235097
79,3.950000,0.000002525654,-0.000008610365,0.000002492862,-0.000008611165,0.000027726333,0.000027670040,3.280134848254e-08,5.629303361070e-08,4.048976,2.953815,1.182654,330530,235033
80,4.000000,0.000002128924,-0.000007257849,0.000002096105,-0.000007258169,0.000023371081,0.000023313014,3.282110757563e-08,5.806616291140e-08,4.027836,3.783151,1.753678,331625,235070
81,4.050000,0.000001794513,-0.000006117786,0.000001761687,-0.000006117723,0.000019699951,0.000019671046,3.282600554195e-08,2.890533913694e-08,5.876301,6.288179,2.612297,331194,235067
82,4.100000,0.000001512631,-0.000005156804,0.000001479853,-0.000005154930,0.000016605483,0.000016478878,3.283084745263e-08,1.266045596664e-07,8.018994,4.555370,2.169993,331612,235149
83,4.150000,0.000001275027,-0.000004346773,0.000001242266,-0.000004347962,0.000013997093,0.000013969364,3.278210237839e-08,2.772931780745e-08,6.821532,4.612677,1.792680,331610,235106
84,4.200000,0.000001074745,-0.000003663982,0.000001041973,-0.000003663274,0.000011798430,0.000011753679,3.278001083189e-08,4.475110063063e-08,6.419564,4.540582,1.813119,331230,235122
85,4.250000,0.000000905924,-0.000003088444,0.000000873213,-0.000003086729,0.000009945132,0.000009893019,3.275658310052e-08,5.211332136302e-08,6.090851,4.383930,1.217529,331551,235088
86,4.300000,0.000000763622,-0.000002603311,0.000000731011,-0.000002600986,0.000008382951,0.000008282568,3.269335322496e-08,1.003827333698e-07,4.011286,3.657026,1.829810,331638,235076
87,4.350000,0.000000643672,-0.000002194383,0.000000611133,-0.000002193856,0.000007066157,0.000006947278,3.254374454993e-08,1.188786347501e-07,6.398595,2.989921,1.124576,331137,235117
88,4.400000,0.000000542564,-0.000001849689,0.000000509984,-0.000001851831,0.000005956205,0.000005899285,3.265050625422e-08,5.691919086483e-08,4.004082,2.990133,1.131769,331192,235106
89,4.450000,0.000000457338,-0.000001559140,0.000000424662,-0.000001560817,0.000005020604,0.000004897770,3.271866164146e-08,1.228339902965e-07,3.966252,2.941262,1.131288,331498,235063
90,4.500000,0.000000385499,-0.000001314230,0.000000352670,-0.000001318698,0.000004231967,0.000004201085,3.313225952163e-08,3.088226079026e-08,4.024540,3.744519,1.155934,331700,235139
91,4.550000,0.000000324945,-0.000001107791,0.000000291938,-0.000001110422,0.000003567210,0.000003522961,3.311164926463e-08,4.424918557223e-08,3.984956,2.953293,1.210146,330970,234852
92,4.600000,0.000000273903,-0.000000933779,0.000000240793,-0.000000935264,0.000003006872,0.000002936502,3.314311190973e-08,7.037053036907e-08,3.974697,3.999964,1.907154,331600,235161
93,4.650000,0.000000230878,-0.000000787101,0.000000197690,-0.000000788751,0.000002534553,0.000002439496,3.322923016428e-08,9.505669938184e-08,10.505668,9.628554,3.281786,331372,235030
94,4.700000,0.000000194612,-0.000000663463,0.000000161307,-0.000000666483,0.000002136425,0.000002116694,3.344184922232e-08,1.973145636261e-08,15.561631,14.993593,1.945636,331585,235101
95,4.750000,0.000000164042,-0.000000559246,0.000000130646,-0.000000559872,0.000001800836,0.000001764029,3.340196629063e-08,3.680660739274e-08,7.033375,4.446137,1.825732,331604,235072
96,4.800000,0.000000138274,-0.000000471400,0.000000104885,-0.000000470529,0.000001517960,0.000001453418,3.340117024143e-08,6.454273165636e-08,7.786431,3.121758,1.290648,331367,235143
97,4.850000,0.000000116554,-0.000000397352,0.000000083210,-0.000000396395,0.000001279519,0.000001210124,3.335780912282e-08,6.939545342574e-08,4.082416,2.998679,1.132431,331242,235107
98,4.900000,0.000000098246,-0.000000334936,0.000000064946,-0.000000334138,0.000001078532,0.000001008698,3.330971468138e-08,6.983435358732e-08,3.982291,2.968312,1.788072,330772,234948
99,4.950000,0.000000082813,-0.000000282324,0.000000049549,-0.000000281707,0.000000909116,0.000000822172,3.327049033391e-08,8.694476478549e-08,4.007057,2.962291,1.159921,331531,235045
