step,time_s,sensor_position,sensor_velocity,u_from_encrypted_controller,u_plain_validation,control_error,next_position,next_velocity,state_change_norm,encrypt_ms,he_dot_ms,decrypt_ms,enc_x_serialized_bytes,enc_u_serialized_bytes
68,3.400000,0.000016514328,-0.000056414092,0.000181587929,0.000182261888,6.739589935448e-07,0.000013914995,-0.000047552803,9.234661378868e-06,4.002660,2.942995,1.111942,333229,235056
69,3.450000,0.000013914995,-0.000047552803,0.000153107143,0.000153728913,6.217706691478e-07,0.000011724021,-0.000040080796,7.786607770665e-06,3.968466,2.992567,1.115849,331168,235128
70,3.500000,0.000011724021,-0.000040080796,0.000128989851,0.000129654393,6.645418984642e-07,0.000009877253,-0.000033785360,6.560721347736e-06,4.016696,3.751761,1.132972,331040,235147
71,3.550000,0.000009877253,-0.000033785360,0.000108691742,0.000109385004,6.932621605198e-07,0.000008320521,-0.000028480085,5.528956413197e-06,3.995967,2.969754,1.155394,331522,235120
72,3.600000,0.000008320521,-0.000028480085,0.000091693284,0.000092311343,6.180592255389e-07,0.000007008341,-0.000024003909,4.664544215315e-06,3.993453,3.731023,1.769007,331114,235079
73,3.650000,0.000007008341,-0.000024003909,0.000077249909,0.000077883088,6.331786310381e-07,0.000005902365,-0.000020232389,3.930335912415e-06,4.156055,2.978470,1.125558,330996,235073
74,3.700000,0.000005902365,-0.000020232389,0.000065088697,0.000065732729,6.440319966933e-07,0.000004970145,-0.000017054145,3.312139922057e-06,3.995917,2.952001,1.117934,331544,234740
75,3.750000,0.000004970145,-0.000017054145,0.000054844616,0.000055497627,6.530109137589e-07,0.000004184352,-0.000014375627,2.791403083527e-06,3.959679,2.942814,1.157167,331166,235067
76,3.800000,0.000004184352,-0.000014375627,0.000046187282,0.000046874488,6.872066285799e-07,0.000003521935,-0.000012119428,2.351431208146e-06,3.974217,2.956270,1.113254,331655,235148
77,3.850000,0.000003521935,-0.000012119428,0.000038976510,0.000039620312,6.438026454672e-07,0.000002963543,-0.000010214887,1.984711409026e-06,3.961994,3.860815,1.831794,331443,235102
78,3.900000,0.000002963543,-0.000010214887,0.000032810671,0.000033482770,6.720988659888e-07,0.000002492862,-0.000008611165,1.671365726039e-06,3.982232,3.048822,1.130307,331014,235097
79,3.950000,0.000002492862,-0.000008611165,0.000027670040,0.000028323381,6.533411076165e-07,0.000002096105,-0.000007258169,1.409970095710e-06,4.048976,2.953815,1.182654,330530,235033
80,4.000000,0.000002096105,-0.000007258169,0.000023313014,0.000023964551,6.515367355093e-07,0.000001761687,-0.000006117723,1.188465721275e-06,4.027836,3.783151,1.753678,331625,235070
81,4.050000,0.000001761687,-0.000006117723,0.000019671046,0.000020290287,6.192413003004e-07,0.000001479853,-0.000005154930,1.003195344245e-06,5.876301,6.288179,2.612297,331194,235067
82,4.100000,0.000001479853,-0.000005154930,0.000016478878,0.000017179547,7.006690054952e-07,0.000001242266,-0.000004347962,8.412162470086e-07,8.018994,4.555370,2.169993,331612,235149
83,4.150000,0.000001242266,-0.000004347962,0.000013969364,0.000014596891,6.275269116205e-07,0.000001041973,-0.000003663274,7.133828376671e-07,6.821532,4.612677,1.792680,331610,235106
84,4.200000,0.000001041973,-0.000003663274,0.000011753679,0.000012382317,6.286383179686e-07,0.000000873213,-0.000003086729,6.007364386526e-07,6.419564,4.540582,1.813119,331230,235122
85,4.250000,0.000000873213,-0.000003086729,0.000009893019,0.000010519370,6.263510704583e-07,0.000000731011,-0.000002600986,5.061298990948e-07,6.090851,4.383930,1.217529,331551,235088
86,4.300000,0.000000731011,-0.000002600986,0.000008282568,0.000008950183,6.676146438590e-07,0.000000611133,-0.000002193856,4.244123579378e-07,4.011286,3.657026,1.829810,331638,235076
